วันที่,หน่วยงาน,รหัสหมวด,ชื่อหมวด,จำนวนเงิน,เลขที่เอกสาร,หมายเหตุ
2024-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,43800.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2024-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,43800.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2023-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2023-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2023-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2024-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2024-02-29,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2024-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2024-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2024-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-3,ค่าจ้างเหมาบริการกำจัดปลวก,6000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2023-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2023-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2023-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2024-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2024-02-29,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2024-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2024-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A01,ค่าใช้จ่ายเดินทาง,10820.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A01,ค่าใช้จ่ายเดินทาง,5194.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,2000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2025-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,2000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2025-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2025-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1340.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2025-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2025-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2025-07-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกรกฎาคม
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A08,ค่าวัสดุซ่อมแซมยานพาหนะ,6000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,A08,ค่าวัสดุซ่อมแซมยานพาหนะ,4426.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2025-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A08,ค่าวัสดุซ่อมแซมยานพาหนะ,2675.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A09,ค่าวัสดุสำนักงาน,4643.80,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2025-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A09,ค่าวัสดุสำนักงาน,7490.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,A09,ค่าวัสดุสำนักงาน,3852.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A11,ค่าวัสดุงานบ้านและงานครัว,9984.17,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A12,ค่าเบี้ยประกันภัยต่างๆ,6002.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2025-07-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A17,ค่ารับรอง,3810.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกรกฎาคม
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,3193.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,3423.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,2951.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2025-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,2766.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,2239.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2025-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,2239.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2025-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,3033.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2025-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,3298.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2025-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,4145.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2025-07-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,3515.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกรกฎาคม
2025-08-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,3929.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนสิงหาคม
2025-09-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,3616.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกันยายน
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,63.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,46.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,47.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2025-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,45.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,87.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2025-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,107.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2025-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,146.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2025-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,146.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2025-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,111.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2025-07-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,131.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกรกฎาคม
2025-08-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,129.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนสิงหาคม
2025-09-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,140.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกันยายน
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,409.65,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,424.90,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,410.67,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2025-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,428.96,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,406.60,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2025-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,406.60,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2025-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,412.70,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2025-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,415.75,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2025-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,408.63,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2025-07-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,410.67,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกรกฎาคม
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2025-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2025-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2025-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2025-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2025-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2025-07-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกรกฎาคม
2025-08-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนสิงหาคม
2025-09-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,45000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกันยายน
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2025-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2025-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2025-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2025-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2025-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2025-07-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกรกฎาคม
2025-08-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนสิงหาคม
2025-09-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,2500.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกันยายน
2025-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-3,ค่าจ้างเหมาบริการกำจัดปลวก,6000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2025-09-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-3,ค่าจ้างเหมาบริการกำจัดปลวก,6000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกันยายน
2024-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2024-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2024-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2025-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2025-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2025-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
